h3_index,n_non_storefront
893e628e613ffff,130
893e628e67bffff,114
893e628f02bffff,68
893e628e663ffff,66
893e62853a3ffff,62
893e628f53bffff,62
893e62b845bffff,60
893e628ed93ffff,57
893e62bac4bffff,56
893f5ba66a3ffff,55
893f5bb5927ffff,54
893e628f5cfffff,53
893e6281a37ffff,52
893e62bb5cfffff,52
893e62d5a77ffff,51
893e628530fffff,50
893e628f4abffff,50
893e628e623ffff,50
893e628f4afffff,48
893e628b2bbffff,48
893e628536fffff,47
893e6281b43ffff,47
893e628e547ffff,46
893e628f5c3ffff,45
893e6281a27ffff,45
893e6053577ffff,44
893e628c38fffff,44
893e628ed97ffff,44
893f5ba669bffff,43
893e66a680fffff,43
893e6281b53ffff,43
893e66a6813ffff,42
893e6285333ffff,42
893e628532fffff,42
893e6281bb3ffff,41
893e628e673ffff,41
893e62d5babffff,40
893e628ed87ffff,39
893e628e6c3ffff,39
893e628f577ffff,39
893e6285283ffff,39
893e628f5dbffff,38
893e6281b5bffff,38
893e66a6817ffff,38
893e628c27bffff,38
893e62bb533ffff,38
893f5ba6437ffff,37
893e66a683bffff,37
893e66a6873ffff,37
893e6049a77ffff,36
893e6281a33ffff,36
893e628ed83ffff,36
893e628504bffff,36
893e6285153ffff,36
893e6285363ffff,35
893e62ba13bffff,35
893e628c383ffff,35
893e6281a2fffff,34
893e6285303ffff,34
893e62853a7ffff,34
893e6281b57ffff,33
893e628f55bffff,33
893f5bb496fffff,33
893f5ba6463ffff,33
893e6285353ffff,32
893e628500fffff,32
893e62853b3ffff,32
893e6285037ffff,32
893e628c24fffff,32
893e62bb5afffff,32
893e628f4bbffff,32
893e628f4a3ffff,32
893e628e677ffff,31
893e66a6807ffff,31
893f5ba65dbffff,31
893e66a6877ffff,31
893e6285323ffff,31
893e6284223ffff,31
893e6285343ffff,31
893e62ba123ffff,30
893e6281b47ffff,30
893e628190fffff,30
893f5bb4b2bffff,30
893e628c263ffff,30
893e6285533ffff,29
893e62851c7ffff,29
893e628502fffff,29
893e62c64abffff,29
893e628ed53ffff,29
893e628e63bffff,29
893e6284237ffff,29
893e628c2cfffff,28
893f5ba668bffff,28
893e6285367ffff,28
893e6281b4bffff,28
893e62ba02bffff,28
893e62d4a3bffff,28
893e628b07bffff,28
893e62851cbffff,28
893e628f487ffff,28
893f5bb4b23ffff,27
893e628194fffff,27
893f5bb4b07ffff,27
893e6285013ffff,27
893e62ba00fffff,27
893e628f5c7ffff,27
893f5bb496bffff,27
893e62b166fffff,27
893e6285313ffff,27
893e62851c3ffff,27
893e6285e53ffff,27
893f5bb596fffff,27
893e628532bffff,27
893e6285377ffff,26
893e6285527ffff,26
893e6285023ffff,26
893e6285317ffff,26
893e66a6803ffff,26
893e628515bffff,26
893e628531bffff,26
893e628c267ffff,26
893e6285637ffff,26
893e66a9a2fffff,26
893e62d4837ffff,25
893e62853abffff,25
893e62d4a23ffff,25
893f5ba64cfffff,25
893e62850dbffff,25
893f5bb4b67ffff,25
893e628f4a7ffff,25
893e628f497ffff,25
893e628f553ffff,25
893e62bb5a7ffff,25
893e628c39bffff,25
893e62853c7ffff,25
893e628c3bbffff,25
893e628530bffff,25
893e62ba173ffff,25
893e6299b0bffff,24
893e6284267ffff,24
893f596a38fffff,24
893e6285edbffff,24
893e66a9a2bffff,24
893e62ba03bffff,24
893e66a9a23ffff,24
893e628ed9bffff,24
893e628c257ffff,24
893e628ec27ffff,24
893f5ba64a7ffff,23
893e6284233ffff,23
893e66a688fffff,23
893e6053557ffff,23
893e628e58fffff,23
893e628e60fffff,23
893e6281bafffff,22
893e62842abffff,22
893e6285017ffff,22
893e628f5a7ffff,22
893f5ba641bffff,22
893e6299b03ffff,22
893e6284207ffff,22
893e6284203ffff,22
893e628423bffff,22
893e6281b67ffff,22
893e605351bffff,22
893e628422bffff,22
893e66a68bbffff,21
893e628ecb7ffff,21
893e62851cfffff,21
893e6285157ffff,21
893e62852d7ffff,21
893e6285357ffff,21
893e628500bffff,21
893e628ed8fffff,21
893e6281ba7ffff,21
893e628b217ffff,21
893e628dcb3ffff,21
893e6281bcbffff,21
893f5bb4b3bffff,21
893e6281bbbffff,21
893e62d4a73ffff,20
893e62851dbffff,20
893e628509bffff,20
893e6285517ffff,20
893e628c387ffff,20
893e628d597ffff,20
893e62853cbffff,20
893e628f42fffff,20
893e628c343ffff,20
893e62bb5a3ffff,20
893e62ba077ffff,20
893f5bb4967ffff,20
893f5ba651bffff,20
893e628f58bffff,20
893e6281b1bffff,20
893e6281b0bffff,20
893f5bb492bffff,20
893e6281a23ffff,20
893f596945bffff,20
893f5ba65d3ffff,20
893e628186fffff,20
893f5bb4ba7ffff,20
893f5ba668fffff,20
893e628f5afffff,20
893e628e607ffff,20
893e6285e4bffff,20
893e628d1b7ffff,20
893e628ed5bffff,20
