# THIRD-SOURCE COMPARISON (vs Google Maps) - NOT ground truth - 90th Street, New Cairo (Tagamoa)
# Google shows only what's open today: this measures coverage gap vs Google only.
# It cannot detect stale records or businesses missing from every source. Do not compute recall from this file.
# Buffer width: 150m either side of the chosen 500m window (highest Overture+FSQ POI density on the street)
# Window: (30.016347117237274, 31.41195941678527) -> (30.016459180562205, 31.406780081003795)  (street total length 24398m)
# Map: https://www.openstreetmap.org/export#map=16&bbox=31.40523%2C30.01499%2C31.41351%2C30.01781
# Nearby cross-streets/landmarks: El Orouba Axis (major intersection) and Side El Orouba Axis; Al Moshir Tantawy Bridge; Al Liwaa Zaki Baqe Youssef Tunnel; Ahmed Aboud Pasha St; Qassem Amin St; Mai Zeyada St
# Overture: 270 places  |  FSQ: 118 places
source,name,category,lat,lon,date_created,in_both_sources,exists_today,category_correct,notes
fsq,900 Degrees,Dining and Drinking > Restaurant > Italian Restaurant,30.017233121986145,31.41240119934082,2016-12-20,n,,,
fsq,ADIB Bank,Business and Professional Services > Financial Service > Banking and Finance > Bank,30.01705201992456,31.40785632815307,2016-01-24,y,,,
fsq,ALEF HQ,Business and Professional Services > Office,30.015067071417633,31.41111034014386,2012-10-24,n,,,
fsq,ATech,Business and Professional Services > Office > Tech Startup,30.015114773042672,31.410667679701472,2010-08-02,n,,,
fsq,Abaza auto trade,Business and Professional Services > Automotive Service > Automotive Repair Shop,30.017007319792032,31.411763364138725,2012-10-24,y,,,
fsq,Abo Khalil,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",30.017237989787223,31.411724294430513,2015-05-15,n,,,
fsq,Abu Auf,Retail > Outdoor Supply Store,30.016564251921626,31.413216590881348,2011-12-12,n,,,
fsq,Alef Bookstore,Retail > Bookstore,30.017485,31.412071,2018-10-05,n,,,
fsq,American Mattresses,Retail > Furniture and Home Store > Mattress Store,30.016883562100528,31.412237807444058,2017-09-20,y,,,
fsq,Aroma Lounge,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",30.017288150595967,31.41168323838224,2016-10-17,n,,,
fsq,Aziza,Dining and Drinking > Restaurant > Middle Eastern Restaurant,30.017313340522602,31.412321501389957,2013-04-20,n,,,
fsq,Bait Ward,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Lebanese Restaurant,30.017178,31.411598,2024-09-13,n,,,
fsq,Baogr,Dining and Drinking > Restaurant > Asian Restaurant,30.017134,31.411953,2022-05-20,y,,,
fsq,Bazarna Pop Up Society,Retail > Boutique,30.017289,31.411684,2022-04-16,n,,,
fsq,Bosch,Retail > Computers and Electronics Retail > Electronics Store,30.017195,31.413055,2026-06-13,n,,,
fsq,Bread Basket,Dining and Drinking > Bakery,30.017438,31.412367,2015-05-11,y,,,
fsq,Buffalo Burger,Dining and Drinking > Restaurant > Burger Joint,30.017326020249424,31.41154289245605,2012-04-28,n,,,
fsq,Burberry,Retail > Fashion Retail > Women's Store,30.0166569,31.4122225,2012-07-10,y,,,
fsq,Burger Factory,Dining and Drinking > Restaurant > Burger Joint,30.01707914152516,31.41307670994023,2015-01-14,n,,,
fsq,Burger Joint,Dining and Drinking > Restaurant > Burger Joint,30.01724,31.411821,2017-02-01,n,,,
fsq,CAI14,Business and Professional Services > Office,30.016589,31.410186,2023-03-06,n,,,
fsq,Café Suprème,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",30.017369,31.411623,2021-04-03,n,,,
fsq,Cairo Ad School,Community and Government > Education,30.015284,31.412123,2019-07-20,y,,,
fsq,Capgemini,Business and Professional Services > Office,30.017261,31.410285,2026-01-08,n,,,
fsq,Carrefour Gourmet,Retail > Food and Beverage Retail > Gourmet Store,30.017025011582444,31.4131242435946,2011-05-06,n,,,
fsq,ChemTech,Business and Professional Services > Office,30.016219628064242,31.411166407438717,2012-12-19,n,,,
fsq,Chemtech,Business and Professional Services > Office,30.016184930041153,31.411763465020577,2012-12-19,n,,,
fsq,Churrasco,Dining and Drinking > Restaurant > Latin American Restaurant > South American Restaurant > Brazilian Restaurant,30.017418,31.412706,2016-03-05,n,,,
fsq,Cilantro,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",30.017221906609194,31.412352030710753,2011-06-06,n,,,
fsq,Concrete,Retail > Fashion Retail > Men's Store,30.017162336973517,31.412528011491887,2011-08-26,y,,,
fsq,Contact Cars,Retail > Automotive Retail > Car Dealership,30.017282,31.412935,2021-01-03,n,,,
fsq,Cook Door,Dining and Drinking > Restaurant > Fast Food Restaurant,30.01729711918773,31.411478713105986,2013-11-29,y,,,
fsq,Crédit Agricole,Business and Professional Services > Financial Service > Banking and Finance > Bank,30.016894740545396,31.41300242519763,2012-07-23,y,,,
fsq,Dalydress,Retail > Fashion Retail > Clothing Store,30.016673938191467,31.413069401093814,2012-10-05,n,,,
fsq,Deloitte,Business and Professional Services > Office,30.016636,31.405835,2024-04-29,n,,,
fsq,Diva Dianah,Retail > Fashion Retail > Clothing Store,30.017212,31.413003,2023-04-11,n,,,
fsq,Downtown Mall,Retail > Shopping Mall,30.01719596265647,31.41240119934082,2010-11-07,y,,,
fsq,Downtown Parking,Travel and Transportation > Parking,30.017076915334954,31.41325358460878,2013-03-31,n,,,
fsq,Downtown Sq,Landmarks and Outdoors > Plaza,30.01626,31.411121,2019-02-26,n,,,
fsq,El Choueifat Monorail Station,Travel and Transportation > Transport Hub > Light Rail Station,30.015762,31.40822,2022-02-20,n,,,
fsq,El Ezaby Pharmacy,Retail > Cosmetics Store,30.0166539,31.4119248,2017-08-16,y,,,
fsq,El Set Hosniah | الست حسنية,Dining and Drinking > Restaurant > Middle Eastern Restaurant,30.01733048275428,31.411580491494185,2012-07-07,n,,,
fsq,Elle Salon,Business and Professional Services > Health and Beauty Service > Hair Salon,30.017355107515588,31.411696387488014,2012-09-20,n,,,
fsq,Escapers,Arts and Entertainment > Escape Room,30.017321270143213,31.412924286603175,2015-10-22,y,,,
fsq,Eye Fashion Optics,Retail > Eyecare Store,30.017231,31.412027,2022-05-06,y,,,
fsq,F.i.g Lounge,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",30.017462,31.411602,2012-04-20,n,,,
fsq,Fair Play Playstation Lounge,Arts and Entertainment > Gaming Cafe,30.01750108257618,31.41126661972528,2012-10-30,n,,,
fsq,Flower Power,Retail > Flower Store,30.017624,31.412025,2018-10-11,n,,,
fsq,Frank Würst,Dining and Drinking > Restaurant > Hot Dog Joint,30.017153,31.41255,2021-12-15,n,,,
fsq,Glamour,Retail > Fashion Retail > Jewelry Store,30.01754,31.4123,2018-02-14,n,,,
fsq,Gold's Gym,Sports and Recreation > Gym and Studio > Gym,30.017086013494712,31.412963355906985,2011-12-05,n,,,
fsq,H&M,Retail > Fashion Retail > Clothing Store,30.01677802810389,31.41320523340255,2012-06-04,y,,,
fsq,Hedeya Jewel Store,Retail > Fashion Retail > Jewelry Store,30.016604,31.412627,2025-09-22,n,,,
fsq,House of Cocoa,Retail > Food and Beverage Retail > Chocolate Store,30.017214874923056,31.41214048759953,2015-04-06,n,,,
