name_overture,name_fsq,sim,distance_m,street
Ralph’s German Bakery,Ralph’s German Bakery,1.0,0.0,Road 9 (Maadi)
Barista,Barista,1.0,0.0,Road 9 (Maadi)
The Lebanese Bakery,The Lebanese Bakery,1.0,0.0,Road 9 (Maadi)
Giftopiia,Giftopiia,1.0,0.0,Road 9 (Maadi)
Pottery Cafe,Pottery Cafe,1.0,2.2,Road 9 (Maadi)
Wafflicious,Wafflicious,1.0,8.4,Road 9 (Maadi)
WienerWald Egypt,Wienerwald | وينروالد,1.0,8.8,Road 9 (Maadi)
اولاد سلطان - Sultan Sons,أسواق أولاد سلطان,1.0,13.4,Road 9 (Maadi)
Il Pennello Ceramic Cafe,IL Pennello Ceramic Café,1.0,13.7,Road 9 (Maadi)
قهوة قمر الزمان المعادي ش ٩,Amar El Zaman,1.0,15.8,Road 9 (Maadi)
كازوزه,Kazouza | كازوزه,1.0,17.3,Road 9 (Maadi)
Sonata Music Center    سوناتا لتعليم العزف و الغناء,Sonata Music Center,1.0,17.6,Road 9 (Maadi)
Bazooka Fried Chicken,Bazooka Fried Chicken,1.0,17.7,Road 9 (Maadi)
Maadi used books,Maadi Used Books,1.0,17.7,Road 9 (Maadi)
Chimney Cone Factory,Chimney Cone Factory,1.0,32.7,Road 9 (Maadi)
بلال,Belal,1.0,113.2,Road 9 (Maadi)
German Beauty Center,German Beauty Center Heidi,1.0,381.7,Road 9 (Maadi)
Kiro cafe,Kiro’s Cafe,0.947,29.4,Road 9 (Maadi)
البحيري,El Beheiry,0.909,56.7,Road 9 (Maadi)
Abou Shakra Restaurants,Abou Shakra Restaurants,1.0,0.0,El Shabab St (Sheikh Zayed)
Abu Auf,Abu Auf,1.0,0.0,El Shabab St (Sheikh Zayed)
Bank ABC,Bank ABC,1.0,0.0,El Shabab St (Sheikh Zayed)
Cilantro,Cilantro,1.0,0.0,El Shabab St (Sheikh Zayed)
El Orouba Roastery,El Orouba Roastery,1.0,0.0,El Shabab St (Sheikh Zayed)
Imtenan Health Shop,Imtenan Health Shop,1.0,0.0,El Shabab St (Sheikh Zayed)
La Poire,La Poire,1.0,0.0,El Shabab St (Sheikh Zayed)
Seoudi | سعودي,Seoudi | سعودي,1.0,0.0,El Shabab St (Sheikh Zayed)
Warda,Warda,1.0,0.0,El Shabab St (Sheikh Zayed)
ساليه سوكريه,ساليه سوكريه,1.0,0.0,El Shabab St (Sheikh Zayed)
7 Mart,7 Mart,1.0,0.0,El Shabab St (Sheikh Zayed)
saif Pharmacy,saif Pharmacy,1.0,0.0,El Shabab St (Sheikh Zayed)
Smile Avenue Egypt,Smile Avenue,1.0,6.0,El Shabab St (Sheikh Zayed)
Bikia Eatery,Bikia Eatery,1.0,6.0,El Shabab St (Sheikh Zayed)
Abu Auf,Abu Auf,1.0,6.2,El Shabab St (Sheikh Zayed)
Dr. Wael Sakr Plastic Surgery Clinic,Dr. Wael Sakr Plastic Surgery Clinic,1.0,8.5,El Shabab St (Sheikh Zayed)
Plaza 34,Plaza 34,1.0,9.7,El Shabab St (Sheikh Zayed)
Coffee Sesh,Coffee-sesh.,1.0,10.8,El Shabab St (Sheikh Zayed)
Al Shabrawy,El Shabrawy | الشبراوى,1.0,12.0,El Shabab St (Sheikh Zayed)
Enaya Clinic,Enaya Clinic,1.0,12.3,El Shabab St (Sheikh Zayed)
Global Care Hospital,Global Care Hospital,1.0,14.2,El Shabab St (Sheikh Zayed)
TotalEnergies,TotalEnergies,1.0,14.3,El Shabab St (Sheikh Zayed)
Fresh Food Market,Fresh Food Market,1.0,16.3,El Shabab St (Sheikh Zayed)
Glow Maher Derke,Glow Maher Derke,1.0,20.4,El Shabab St (Sheikh Zayed)
Hamada Rehan Beauty center,Hamada Rehan,1.0,26.0,El Shabab St (Sheikh Zayed)
Smile On Dental Center,SmileOn Dental Center,1.0,28.2,El Shabab St (Sheikh Zayed)
Willy's Kitchen,Willy's Kitchen,1.0,28.6,El Shabab St (Sheikh Zayed)
سمسمة,Semsema | سمسمة,1.0,30.0,El Shabab St (Sheikh Zayed)
Buffalo Burger,Buffalo Burger,1.0,32.9,El Shabab St (Sheikh Zayed)
Exit 14,Exit 14,1.0,35.6,El Shabab St (Sheikh Zayed)
The beauty room,The Beauty Room,1.0,35.9,El Shabab St (Sheikh Zayed)
Medipoint,Medipoint,1.0,36.0,El Shabab St (Sheikh Zayed)
Favilla Lounge,Favilla Lounge,1.0,41.5,El Shabab St (Sheikh Zayed)
Capelli Beauty Salon,Capelli Beauty Salon,1.0,48.3,El Shabab St (Sheikh Zayed)
